PID,Yr_Sold,Mo_Sold,Gr_Liv_Area,Longitude,Latitude,Sale_Price
0526301100,2010,5,1656,-93.619754,42.054035,215000
0526350040,2010,6,896,-93.619756,42.053014,105000
0526351010,2010,6,1329,-93.6193873,42.052659,172000
0526353030,2010,4,2110,-93.61732,42.051245,244000
0527105010,2010,3,1629,-93.638933,42.060899,189900
0527105030,2010,6,1604,-93.638925,42.060779,195500
0527127150,2010,4,1338,-93.633792,42.062978,213500
0527145080,2010,1,1280,-93.633826,42.060728,191500
0527146030,2010,3,1616,-93.632852,42.06112,236500
0527162130,2010,6,1804,-93.639068,42.059193,189000
0527163010,2010,4,1655,-93.636947,42.05848,175900
0527165230,2010,3,1187,-93.635951,42.057419,185000
0527166040,2010,5,1465,-93.638647,42.058151,180400
0527180040,2010,2,1341,-93.634626,42.057268,171500
0527182190,2010,6,1502,-93.632913,42.059169,212000
0527216070,2010,6,3279,-93.62655,42.061239,538000
0527225035,2010,6,1752,-93.6235954,42.06035139999999,164000
0527258010,2010,6,1856,-93.628804,42.05885,394432
0527276150,2010,6,864,-93.622971,42.056673,141000
0527302110,2010,2,2073,-93.636655,42.054453,210000
0527358140,2010,1,1844,-93.633962,42.050346,190000
0527358200,2010,1,1173,-93.636372,42.05027,170000
0527368020,2010,1,1674,-93.639366,42.049297,216000
0527402200,2010,3,1004,-93.626231,42.055147,149000
0527402250,2010,4,1078,-93.626537,42.054592,149900
0527403020,2010,7,1056,-93.628806,42.055227,142000
0527404120,2010,4,882,-93.627112,42.053395,126000
0527425090,2010,4,864,-93.622769,42.056375,115000
0527427230,2010,6,1337,-93.624373,42.055318,184000
0527451180,2010,2,987,-93.627271,42.051835,96000
0527451330,2010,3,1092,-93.627536,42.051684,105500
0527451410,2010,3,1092,-93.62728,42.051685,88000
0527452190,2010,7,1069,-93.627232,42.049672,127500
0527453130,2010,6,1456,-93.625924,42.050683,149900
0527453150,2010,6,836,-93.625966,42.050681,120000
0527454200,2010,7,1456,-93.625848,42.049811,146000
0528108120,2010,1,2334,-93.653201,42.062352,376162
0528112020,2010,5,1704,-93.654645,42.062109,306000
0528120060,2010,4,1940,-93.6537329,42.0611331,395192
0528120090,2010,6,1544,-93.6528306,42.0612885,290941
0528120100,2010,5,1541,-93.652713,42.060872,220000
0528120120,2010,6,1698,-93.65332,42.0608079,275000
0528138020,2010,2,1822,-93.652336,42.060879,259000
0528138060,2010,3,1535,-93.652307,42.060298,214000
0528150070,2010,3,2364,-93.655051,42.059617,611657
0528175010,2010,6,1358,-93.650436,42.058388,224000
0528176010,2010,6,2696,-93.656067,42.058599,500000
0528176070,2010,6,2250,-93.654853,42.057102,320000
0528180070,2010,2,1752,-93.654121,42.057164,319900
0528181050,2010,4,1370,-93.649447,42.058252,205000
0528188120,2010,6,1626,-93.651013,42.057181,175500
0528218150,2010,1,1324,-93.644356,42.061928,199500
0528228285,2010,1,1145,-93.641635,42.06257,160000
0528228440,2010,4,1269,-93.642252,42.062303,192000
0528231020,2010,6,1374,-93.644076,42.061443,184500
0528240070,2010,5,1960,-93.641487,42.060977,216500
0528240130,2010,4,1733,-93.642447,42.061193,185088
0528250100,2010,4,1430,-93.641325,42.060936,180000
0528292020,2010,5,2035,-93.641337,42.057103,222500
0528328100,2010,5,2599,-93.651381,42.054386,333168
0528344070,2010,1,2475,-93.652334,42.053243,355000
0528358010,2010,3,1720,-93.654206,42.051721,260400
0528363130,2010,4,2622,-93.653616,42.051674,325000
0528382020,2010,4,2270,-93.650356,42.052457,290000
0528382030,2010,6,1839,-93.650578,42.052437,221000
0528386040,2010,3,3238,-93.652972,42.050909,410000
0528445060,2010,5,1595,-93.642368,42.05306,221500
0528456160,2010,4,1218,-93.649976,42.051827,204500
0528458070,2010,6,1547,-93.650318,42.051653,215200
0528458110,2010,4,1566,-93.647105,42.050084,262500
0528477080,2010,5,1947,-93.642773,42.052347,254900
0528480090,2010,5,1468,-93.642224,42.051429,271500
0531367050,2010,1,2084,-93.692309,42.036255,233000
0531369060,2010,4,1659,-93.692412,42.036113,181000
0531380080,2010,5,2110,-93.68981,42.036026,205000
0531451110,2010,5,923,-93.686417,42.03548,143000
0531451280,2010,5,1845,-93.687694,42.036659,189000
0531452020,2010,4,918,-93.686263,42.034589,99500
0531452050,2010,2,752,-93.686264,42.0347,125000
0531452180,2010,2,1744,-93.68628,42.036633,194500
0531453010,2010,5,1097,-93.685028,42.034555,152000
0531453040,2010,4,1564,-93.685029,42.034678,171000
0531477050,2010,4,1012,-93.67906939999999,42.03607540000001,67500
0532351140,2010,4,1902,-93.677205,42.036535,112000
0532354090,2010,6,1155,-93.673669,42.034793,148000
0532376160,2010,4,894,-93.670956,42.035685,138500
0532377060,2010,2,900,-93.672096,42.034856,122000
0532377100,2010,6,1040,-93.672067,42.03457,133000
0532378110,2010,4,1040,-93.669688,42.035333,127000
0532479070,2010,4,1494,-93.660672,42.034603,169000
0533130020,2010,6,1923,-93.646749,42.048253,190000
0533130130,2010,6,2349,-93.651773,42.046825,362500
0533130160,2010,6,2225,-93.652773,42.045773,285000
0533205060,2010,3,1488,-93.647988,42.047452,260000
0533208090,2010,1,1680,-93.64614,42.048086,190000
0533210060,2010,4,1200,-93.645599,42.048566,155000
0533212010,2010,6,1200,-93.644889,42.047899,151000
0533212020,2010,2,1200,-93.644889,42.047876,149500
0533212060,2010,5,1236,-93.64489,42.047782,152000
0533213030,2010,6,1478,-93.6468879,42.0471748,222000
0533221090,2010,6,1573,-93.645606,42.046145,177500
0533221110,2010,5,1512,-93.645585,42.046145,177000
0533223020,2010,5,1416,-93.645482,42.046424,155000
0533223100,2010,6,1080,-93.645478,42.046114,147110
0533238045,2010,4,1418,-93.64125299999999,42.0470316,267916
0533244030,2010,4,1848,-93.643556,42.04638,254000
0533253060,2010,6,788,-93.649361,42.042565,155000
0533253210,2010,1,1226,-93.648143,42.043704,206000
0533352170,2010,3,1479,-93.65921,42.034561,130500
0534102025,2010,4,1492,-93.639516,42.048606,230000
0534129040,2010,5,1829,-93.633351,42.046322,218500
0534151175,2010,3,2495,-93.636879,42.043038,243500
0534152050,2010,2,1610,-93.637463,42.043306,205000
0534152070,2010,4,1891,-93.637531,42.043306,212500
0534152100,2010,3,1714,-93.637788,42.043329,196500
0534176060,2010,3,1381,-93.631435,42.043822,197500
0534176230,2010,6,1645,-93.632554,42.043821,171000
0534202160,2010,4,1232,-93.626137,42.046574,142250
0534251320,2010,6,1328,-93.625926,42.042205,143000
0534276360,2010,1,1225,-93.623383,42.043363,128950
0534401110,2010,4,1209,-93.626939,42.039085,159000
0534401140,2010,4,1510,-93.627536,42.038971,178900
0534403360,2010,5,1775,-93.626785,42.040326,136300
0534403410,2010,4,1152,-93.627809,42.041146,180500
0534425310,2010,5,1054,-93.625728,42.040391,137500
0534427010,2010,1,1728,-93.62290399999999,42.0418387,84900
0534430080,2010,4,1078,-93.622864,42.039211,142125
0534431050,2010,3,2461,-93.620651,42.039211,197600
0534431070,2010,1,1556,-93.620504,42.038538,172500
0534450180,2010,2,858,-93.629287,42.035256,116500
0534451150,2010,5,1306,-93.629313,42.035482,76500
0534475100,2010,2,1063,-93.62475,42.035943,128000
0534476260,2010,3,1520,-93.624601,42.036095,153000
0534479320,2010,3,1268,-93.621431,42.037424,132000
0535101020,2010,1,1128,-93.618221,42.048494,178000
0535106190,2010,1,2274,-93.6184183,42.0459375,154300
0535125010,2010,7,2207,-93.614307,42.049514,180000
0535126040,2010,6,1888,-93.614244,42.047447,190000
0535152010,2010,3,1604,-93.617693,42.044895,135000
0535152050,2010,2,1480,-93.617553,42.043984,214000
0535152130,2010,5,1143,-93.617117,42.042908,136000
0535152150,2010,4,1700,-93.6177041,42.0430839,165500
0535152250,2010,6,1314,-93.618626,42.044847,145000
0535153070,2010,4,1194,-93.616582,42.043969,148000
0535154050,2010,5,1188,-93.614882,42.044052,142000
0535175070,2010,4,1264,-93.613301,42.044176,167500
0535175180,2010,5,1206,-93.61513,42.044883,108538
0535179020,2010,6,1580,-93.61424099999999,42.0435919,159500
0535180130,2010,2,1337,-93.613624,42.042308,108000
0535302080,2010,5,1064,-93.615622,42.040396,135000
0535302200,2010,6,972,-93.617092,42.04137,122500
0535304060,2010,4,988,-93.61722,42.038515,119000
0535304180,2010,1,1057,-93.618428,42.039841,109000
0535325400,2010,4,985,-93.615475,42.038443,105000
0535327140,2010,4,827,-93.61164199999999,42.038521,107500
0535350030,2010,5,1086,-93.618788,42.038249,144900
0535350040,2010,5,936,-93.6192014,42.0381282,129000
0535353190,2010,1,1458,-93.620341,42.035869,97500
0535377090,2010,6,1056,-93.6116762,42.0372097,144000
0535401080,2010,3,1287,-93.607275,42.040085,162000
0535425010,2010,6,2978,-93.606905,42.041119,242000
0535450210,2010,5,1224,-93.61061,42.035867,132000
0535453070,2010,5,1246,-93.605969,42.03594,154000
0535454070,2010,6,1385,-93.609218,42.0347571,166000
0535456110,2010,5,900,-93.607801,42.034848,134800
0535457010,2010,2,1116,-93.605943,42.034748,160000
0535457090,2010,6,1175,-93.606742,42.034851,148000
0535476350,2010,5,1395,-93.604835,42.036873,192000
0535477020,2010,6,1839,-93.603705,42.037093,155000
0902102100,2010,1,1844,-93.617014,42.033313,80400
0902104060,2010,6,1140,-93.617135,42.032134,96500
0902106130,2010,5,936,-93.62024,42.031363,109500
0902106140,2010,3,1028,-93.620241,42.031381,115000
0902110090,2010,6,1347,-93.6179112,42.0303783,143000
0902125080,2010,5,1605,-93.614002,42.033279,107400
0902125160,2010,6,747,-93.615431,42.033644,80000
0902128170,2010,2,804,-93.615446,42.032391,119000
0902206040,2010,4,1316,-93.608954,42.03128,130000
0902206130,2010,1,1251,-93.6090761,42.0303113,119000
0902206220,2010,6,1633,-93.610466,42.030383,129000
0902206240,2010,3,1245,-93.610468,42.030467,100000
0902207130,2010,6,832,-93.606789,42.030388,12789
0902207140,2010,5,720,-93.606789,42.030331,105900
0902305110,2010,4,1566,-93.616887,42.028099,150000
0902327040,2010,6,1652,-93.610588,42.029146,139000
0902329030,2010,4,2268,-93.61221,42.028145,240000
0902401060,2010,6,2256,-93.608878,42.028083,76500
0902402010,2010,4,1236,-93.608246,42.03005,149700
0902402130,2010,6,1363,-93.607238,42.028164,125500
0902402250,2010,4,2290,-93.608752,42.02916,122500
0902403070,2010,6,1470,-93.607088,42.028165,140750
0903204040,2010,3,1612,-93.625737,42.033642,128500
0903206120,2010,5,2068,-93.625825,42.030187,209500
0903225150,2010,4,765,-93.625586,42.033621,87000
0903226160,2010,4,1132,-93.624566,42.033563,134000
0903227020,2010,3,1196,-93.622597,42.0336,128000
0903227150,2010,3,1453,-93.623523,42.033665,132000
0903228150,2010,3,1416,-93.622448,42.033631,139900
0903232190,2010,5,1040,-93.623483,42.031556,123900
0903233120,2010,3,1536,-93.621482,42.031337,138400
0903234050,2010,3,1068,-93.620409,42.032302,109500
0903425110,2010,4,1710,-93.62338,42.027986,140000
0903426180,2010,6,1962,-93.621674,42.028888,149500
0903426200,2010,5,1560,-93.621835,42.028875,159900
0903430080,2010,2,1324,-93.621632,42.026914,122000
0903450110,2010,5,816,-93.629495,42.020693,110000
0903454060,2010,7,1092,-93.626876,42.024141,55000
0903476030,2010,5,1812,-93.620386,42.026741,140000
0904100140,2010,6,2403,-93.656231,42.033454,244400
0904101110,2010,5,1675,-93.655538,42.032432,173000
0904300150,2010,1,1224,-93.658265,42.028256,107500
0904302260,2010,2,1392,-93.656924,42.026752,100000
0904350045,2010,3,919,-93.658081,42.02616,95000
0904352190,2010,6,1680,-93.655849,42.022825,114900
0905101100,2010,5,1020,-93.672036,42.034451,94000
0905101300,2010,5,1832,-93.671021,42.033386,136000
0905101310,2010,4,1768,-93.671076,42.033387,136500
0905102060,2010,4,1039,-93.673401,42.033008,131500
0905103060,2010,5,1392,-93.672381,42.03237,121500
0905104210,2010,5,912,-93.678141,42.029867,125000
0905105070,2010,5,1060,-93.676659,42.03069,154000
0905105200,2010,6,892,-93.677992,42.029924,137900
0905106140,2010,3,1352,-93.676654,42.029731,158000
0905106170,2010,5,864,-93.676674,42.030519,137250
0905107110,2010,5,1373,-93.671511,42.031187,160250
0905107250,2010,3,1440,-93.673565,42.03136,163000
0905107320,2010,4,1386,-93.672523,42.03128,158900
0905109130,2010,4,2260,-93.670503,42.030082,328000
0905109170,2010,4,1483,-93.670114,42.03009,270000
0905201030,2010,6,756,-93.663619,42.03387,85000
0905202090,2010,2,1067,-93.668378,42.032164,128000
0905325030,2010,4,1524,-93.667904,42.026547,260000
0905352140,2010,5,1981,-93.675038,42.024673,230000
0905378040,2010,6,1610,-93.671178,42.023079,124000
0905426060,2010,5,835,-93.662762,42.028226,83000
0905426200,2010,6,1074,-93.663570000000007,42.026533,144500
0905451320,2010,6,1144,-93.667708,42.024208,129000
0905452110,2010,6,1531,-93.66525999999999,42.025173,127000
0905452160,2010,6,1172,-93.666097,42.02526,128000
0905453040,2010,3,1212,-93.66588759999999,42.0247497,186000
0905453080,2010,1,1508,-93.665799,42.024126,308030
0905475510,2010,6,1298,-93.663367,42.025019,114000
0905478190,2010,4,930,-93.659808,42.024162,84900
0906201030,2010,6,1732,-93.685001,42.03374,178000
0906201120,2010,6,1433,-93.685988,42.032076000000004,270000
0906204230,2010,5,1802,-93.683167,42.033783,218000
0906223090,2010,6,1949,-93.682026,42.03068,236000
0906225210,2010,4,996,-93.68015679999999,42.0311198,147000
0906378100,2010,2,1694,-93.69019,42.025747,245350
0906380190,2010,2,1208,-93.691269,42.024614,206000
0906385010,2010,5,1226,-93.69245,42.024604,198900
0906385020,2010,3,1222,-93.692521,42.024604,187000
0906402200,2010,5,3222,-93.68329,42.030601,320000
0906425045,2010,3,1445,-93.68018049999999,42.0298532,138500
0906477110,2010,6,1052,-93.682138,42.024318,155000
0907125090,2010,7,965,-93.69188,42.021321,159000
0907180050,2010,4,1692,-93.690542,42.018411,191000
0907185060,2010,6,1682,-93.688258,42.01867,200500
0907200280,2010,6,1026,-93.68773,42.022186,150000
0907200290,2010,3,1392,-93.687807,42.022045,161750
0907200340,2010,2,894,-93.687745,42.021395,128200
0907203070,2010,6,876,-93.683727,42.021133,127000
0907250030,2010,5,1978,-93.687859,42.018662,318000
0907252120,2010,5,1601,-93.68552299999999,42.01906899999999,272000
0907262050,2010,1,1829,-93.687764,42.016121,237000
0907280040,2010,4,2098,-93.680864,42.018721,240000
0907290040,2010,5,1661,-93.682686,42.017749,224900
0907290170,2010,4,848,-93.681227,42.016275,143750
0907290240,2010,5,848,-93.6837,42.016253,143000
0907401090,2010,5,1668,-93.687922,42.01404,232000
0907410080,2010,5,1484,-93.684015,42.014092,213000
0907414030,2010,5,1414,-93.685961,42.014023,185500
0908102060,2010,4,640,-93.6783313,42.0203585,84900
0908102110,2010,1,992,-93.677482,42.021245,155891
0908102130,2010,5,1664,-93.677553,42.021041,100000
0908102170,2010,6,1196,-93.677545,42.020635,144000
0908102300,2010,6,1120,-93.676372,42.021163,64000
0908103350,2010,6,1096,-93.675268,42.020306,125200
0908152080,2010,3,1117,-93.675175,42.019849,107000
0908203100,2010,5,960,-93.6663375,42.01962899999999,90000
0908208020,2010,3,1121,-93.66751,42.020196,140000
0908225320,2010,4,1487,-93.664841,42.021793,113000
0908226130,2010,7,924,-93.660168,42.021583,80000
0908275300,2010,5,1526,-93.661944,42.017726,144500
0909100080,2010,5,1296,-93.655762,42.022674,104000
0909100110,2010,5,1647,-93.655653,42.022702,128000
0909101070,2010,6,864,-93.656718,42.022089,58500
0909176140,2010,5,1691,-93.650321,42.017737,127000
0909176150,2010,3,856,-93.6514413,42.0177987,126000
0909177100,2010,2,2650,-93.6507568,42.0163944,160000
0909250030,2010,5,1666,-93.64678,42.019091,100000
0909250060,2010,3,2447,-93.646683,42.019093,169000
0909281080,2010,7,2133,-93.640041,42.016226,257500
0909426080,2010,3,2177,-93.639781,42.014937,215000
0909427230,2010,5,2340,-93.642793,42.014682,266500
0909428280,2010,5,1902,-93.639678,42.011005,335000
0909452114,2010,6,1652,-93.645014,42.010606,203135
0909455030,2010,4,1034,-93.645701,42.009345,185000
0909455040,2010,3,1191,-93.645729,42.009337,162500
0909475140,2010,3,1801,-93.641677,42.010797,289000
0910202060,2010,5,1154,-93.625291,42.022772,125500
0910203250,2010,4,540,-93.629496,42.021414,82000
0910205120,2010,4,1107,-93.626689,42.021474,110000
0911128180,2010,4,1128,-93.615272,42.021456,68400
0911202100,2010,1,1178,-93.606593,42.022653,102776
0911204090,2010,6,1044,-93.608271,42.021327,55993
0911204100,2010,6,952,-93.60775,42.02152,50138
0911370510,2010,5,1646,-93.61599299999999,42.00868699999999,246000
0914467040,2010,5,1916,-93.604947,41.99706,254900
0914475090,2010,5,1285,-93.602823,41.997052,190000
0914476520,2010,4,1560,-93.603972,41.996065,201000
